what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487758944091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487758945309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487759029608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487759031513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487759669948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487759671026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488178460417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488178460686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488208301896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488258124791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488258125766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488258128378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488261415232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488261416817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488263556232
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1488263559908
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1488263568579
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1488263568712
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1488263570465
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1488263570592
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1488263570684
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1488263570941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488263571040
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1488263571090
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1488263571133
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1490251156288
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1490251156288
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1490251156289
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1490251156289
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1490251156289
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1490251156290
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1490251156290
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1490251156290
