what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1490252361661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252361944
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1490252361950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490252361950
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252361951
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252361972
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252361981
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252361988
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252361995
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252362018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252364861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252366159
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1490252366173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490252366173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252375661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252382110
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1490252384277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490252384479
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490252387353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490252393980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261827425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261828422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261828621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261829185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261842208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261842650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261860969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261865771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261865883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261865893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261869762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490261874108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490266305394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490266311738
